date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,rolling_volatility_30d,umich_sentiment
2010-06-07,80.540051,80.848089,79.195218,79.255318,264609100,-0.012529,0.306911,76.0
2010-06-08,79.315412,80.26206,78.624212,80.104286,357774300,0.010655,0.31016,76.0
2010-06-09,80.570114,81.351474,79.337972,79.676064,268023300,-0.00536,0.304571,76.0
2010-06-10,81.035903,82.102757,79.668526,82.005089,317890600,0.028812,0.317352,76.0
2010-06-11,81.283852,82.455889,81.231261,82.403297,214128200,0.004844,0.314949,76.0
2010-06-14,83.034389,83.485178,82.19293,82.275574,207196100,-0.001551,0.312211,76.0
2010-06-15,82.854076,84.221454,82.711326,84.146324,238268700,0.022483,0.317574,76.0
2010-06-16,83.710551,84.461857,83.545262,84.116257,216374000,-0.000357,0.311049,76.0
2010-06-17,84.356693,84.394261,83.432589,84.251511,263185800,0.001607,0.310902,76.0
2010-06-18,84.418344,84.644805,84.0711,84.342857,174006600,0.001084,0.295346,76.0
2010-06-21,85.392165,85.452551,83.63329,84.101318,213140700,-0.002868,0.292146,76.0
2010-06-22,84.101287,84.471177,82.591525,82.712303,239355400,-0.016654,0.266073,76.0
2010-06-23,82.765156,83.059559,81.889497,82.455658,254639900,-0.003108,0.266084,76.0
2010-06-24,82.048019,82.153702,80.877952,81.089317,268523600,-0.016709,0.265185,76.0
2010-06-25,81.330893,81.844213,80.598658,81.429031,238726500,0.004181,0.264295,76.0
2010-06-28,81.549773,81.768689,80.87793,81.172333,169218600,-0.003157,0.259934,76.0
2010-06-29,80.032517,81.157294,78.167965,78.666183,373649500,-0.031361,0.273571,76.0
2010-06-30,78.44723,79.171915,77.662153,77.918816,284101700,-0.009546,0.272399,76.0
2010-07-01,77.865967,78.122624,76.341104,77.571564,382924800,-0.004467,0.272303,67.8
2010-07-02,77.835786,78.069798,76.711015,77.148842,233385200,-0.005464,0.250467,67.8
2010-07-06,78.235912,78.786978,76.907319,77.654655,256935300,0.006535,0.247079,67.8
2010-07-07,77.850878,80.198558,77.76784,80.100426,253769400,0.03101,0.262248,67.8
2010-07-08,80.77226,80.983626,79.949442,80.893044,210842100,0.009847,0.263888,67.8
2010-07-09,80.870403,81.504506,80.719429,81.496956,144999900,0.007438,0.264118,67.8
2010-07-12,81.22519,81.708314,80.885496,81.549789,131283600,0.000648,0.245463,67.8
2010-07-13,82.395267,83.104851,82.229192,82.780258,213025900,0.014976,0.246814,67.8
2010-07-14,82.516043,83.097304,82.176348,82.772705,184426800,-9.1e-05,0.241373,67.8
2010-07-15,82.742515,83.082209,81.655485,82.795357,232337900,0.000274,0.229543,67.8
2010-07-16,82.349965,82.440553,80.35708,80.51561,282693400,-0.027921,0.243013,67.8
2010-07-19,80.810033,81.24786,80.183481,80.991203,186709000,0.005889,0.220275,67.8
2010-07-20,79.919271,81.949897,79.881524,81.889511,258162400,0.01103,0.218927,67.8
2010-07-21,82.312275,82.33492,80.493007,80.825157,264527000,-0.013083,0.220717,67.8
2010-07-22,81.783826,82.991641,81.776282,82.629295,274781300,0.022076,0.228781,67.8
2010-07-23,82.46319,83.467183,82.229179,83.346405,222020800,0.008641,0.214671,67.8
2010-07-26,83.489831,84.297553,83.255819,84.214516,184445700,0.010362,0.216222,67.8
2010-07-27,84.674985,84.765573,83.874813,84.206963,204855600,-9e-05,0.21613,67.8
2010-07-28,84.033358,84.29002,83.384159,83.663467,163056200,-0.006475,0.206955,67.8
2010-07-29,84.184352,84.410819,82.591558,83.255852,220149100,-0.004884,0.207402,67.8
2010-07-30,82.410362,83.686113,82.266939,83.24073,220070600,-0.000182,0.20732,67.8
2010-08-02,84.539153,85.256294,84.199459,85.120415,188263200,0.02233,0.217537,68.9
2010-08-03,84.909016,85.127927,84.433438,84.712746,146657300,-0.004801,0.217854,68.9
2010-08-04,84.946781,85.384614,84.667479,85.278931,158171700,0.006661,0.212557,68.9
2010-08-05,84.735397,85.233621,84.607068,85.188324,140473800,-0.001063,0.212295,68.9
2010-08-06,84.350413,84.976966,83.731411,84.841087,239728300,-0.004084,0.206163,68.9
2010-08-09,85.241173,85.437443,84.788245,85.294014,120800400,0.005324,0.206318,68.9
2010-08-10,84.569304,85.286444,84.071086,84.833511,242916300,-0.005414,0.206868,68.9
2010-08-11,83.52758,83.557776,82.372613,82.508492,273406900,-0.027789,0.202148,68.9
2010-08-12,81.262944,82.297127,81.225197,82.002724,239542600,-0.006149,0.200757,68.9
2010-08-13,81.746074,82.251843,81.663037,81.761169,158698500,-0.00295,0.200399,68.9
2010-08-16,81.202542,81.987619,80.908139,81.723412,147895300,-0.000462,0.199355,68.9
2010-08-17,82.425462,83.331316,82.191445,82.727409,172270300,0.01221,0.201168,68.9
2010-08-18,82.689675,83.323772,82.214102,82.878395,182922100,0.001823,0.181561,68.9
2010-08-19,82.448082,82.651897,81.096845,81.436539,265847600,-0.01755,0.187409,68.9
2010-08-20,81.194978,81.481837,80.583527,81.172333,209714200,-0.00325,0.186391,68.9
2010-08-23,81.557335,81.957421,80.8251,80.862846,163490300,-0.00382,0.186678,68.9
2010-08-24,79.979669,80.311819,79.239889,79.662621,280677800,-0.014954,0.185572,68.9
2010-08-25,79.22477,80.274055,78.726552,79.972107,272234800,0.003877,0.186148,68.9
2010-08-26,80.349532,80.455215,79.171914,79.436127,224439500,-0.006725,0.186788,68.9
2010-08-27,79.934352,80.749625,78.741639,80.666588,272649000,0.015371,0.175113,68.9
2010-08-30,80.455239,80.704351,79.488992,79.496536,167238600,-0.014611,0.179217,68.9
2010-08-31,79.202133,80.002311,78.877534,79.496536,273933100,0.0,0.175804,68.9
2010-09-01,80.568486,81.987661,80.515645,81.874428,256828100,0.029473,0.192808,68.2
2010-09-02,82.070688,82.651944,81.897062,82.636848,156112200,0.009269,0.18367,68.2
2010-09-03,83.444541,83.784235,82.999158,83.708748,212197300,0.012888,0.185806,68.2
2010-09-07,83.316241,83.421924,82.697238,82.765175,141973700,-0.011336,0.186079,68.2
2010-09-08,82.931218,83.678549,82.893472,83.346405,149924400,0.006998,0.187371,68.2
2010-09-09,84.282442,84.305088,83.504916,83.731377,147017900,0.004608,0.186972,68.2
2010-09-10,83.882387,84.252277,83.693666,84.154144,127819000,0.005036,0.186918,68.2
2010-09-13,84.984504,85.263806,84.644804,85.090187,178503500,0.011062,0.189459,68.2
2010-09-14,84.924128,85.520485,84.607079,85.037361,209823600,-0.000621,0.178058,68.2
2010-09-15,84.788227,85.460071,84.531571,85.361938,168608400,0.00381,0.177803,68.2
2010-09-16,85.097733,85.392136,84.810874,85.339294,199962900,-0.000265,0.176765,68.2
2010-09-17,85.788587,85.872069,85.135914,85.371178,195836900,0.000374,0.176737,68.2
2010-09-20,85.667153,86.866252,85.393941,86.676521,214555200,0.015174,0.18155,68.2
2010-09-21,86.744831,87.154644,86.145282,86.501976,268389100,-0.002016,0.181176,68.2
2010-09-22,86.36536,86.851069,85.83411,86.076965,191322400,-0.004925,0.181044,68.2
2010-09-23,85.37117,86.266699,85.135906,85.378761,202354300,-0.008144,0.162374,68.2
